code,plot,year,species,#adults,#saplings,#seedlings
717,OM6,2013,Rosmarinus officinalis,10,2,1
721,CM1,2017,Cistus libanotis,7,9,NA
722,CM1,2017,Halimium commutatum,3,0,NA
723,CM1,2017,Halimium halimifolium,6,1,NA
726,CM1,2017,Lavandula stoechas,19,2,NA
727,CM1,2017,Rosmarinus officinalis,8,0,NA
731,CM2,2017,Cistus libanotis,1,1,NA
732,CM2,2017,Halimium commutatum,4,1,NA
733,CM2,2017,Halimium halimifolium,2,0,NA
736,CM2,2017,Lavandula stoechas,2,7,NA
737,CM2,2017,Rosmarinus officinalis,8,2,NA
741,CM3,2017,Cistus libanotis,6,2,NA
742,CM3,2017,Halimium commutatum,0,0,NA
743,CM3,2017,Halimium halimifolium,8,0,NA
746,CM3,2017,Lavandula stoechas,6,0,NA
747,CM3,2017,Rosmarinus officinalis,12,1,NA
751,CM4,2017,Cistus libanotis,0,0,NA
752,CM4,2017,Halimium commutatum,4,1,NA
753,CM4,2017,Halimium halimifolium,3,1,NA
756,CM4,2017,Lavandula stoechas,15,1,NA
757,CM4,2017,Rosmarinus officinalis,1,0,NA
761,CM5,2017,Cistus libanotis,6,0,NA
762,CM5,2017,Halimium commutatum,0,2,NA
763,CM5,2017,Halimium halimifolium,8,0,NA
766,CM5,2017,Lavandula stoechas,21,3,NA
767,CM5,2017,Rosmarinus officinalis,2,0,NA
771,CM6,2017,Cistus libanotis,3,1,NA
772,CM6,2017,Halimium commutatum,2,0,NA
773,CM6,2017,Halimium halimifolium,5,0,NA
776,CM6,2017,Lavandula stoechas,17,1,NA
777,CM6,2017,Rosmarinus officinalis,12,0,NA
781,MM1,2017,Cistus libanotis,19,4,NA
782,MM1,2017,Halimium commutatum,0,1,NA
783,MM1,2017,Halimium halimifolium,0,0,NA
786,MM1,2017,Lavandula stoechas,3,0,NA
787,MM1,2017,Rosmarinus officinalis,8,2,NA
791,MM2,2017,Cistus libanotis,7,4,NA
792,MM2,2017,Halimium commutatum,6,0,NA
793,MM2,2017,Halimium halimifolium,19,0,NA
796,MM2,2017,Lavandula stoechas,0,1,NA
797,MM2,2017,Rosmarinus officinalis,5,0,NA
801,MM3,2017,Cistus libanotis,2,0,NA
802,MM3,2017,Halimium commutatum,5,3,NA
803,MM3,2017,Halimium halimifolium,12,0,NA
806,MM3,2017,Lavandula stoechas,0,0,NA
807,MM3,2017,Rosmarinus officinalis,12,3,NA
811,MM4,2017,Cistus libanotis,1,1,NA
812,MM4,2017,Halimium commutatum,9,3,NA
813,MM4,2017,Halimium halimifolium,27,0,NA
816,MM4,2017,Lavandula stoechas,0,0,NA
817,MM4,2017,Rosmarinus officinalis,7,0,NA
821,MM5,2017,Cistus libanotis,8,6,NA
822,MM5,2017,Halimium commutatum,6,2,NA
823,MM5,2017,Halimium halimifolium,6,0,NA
826,MM5,2017,Lavandula stoechas,6,1,NA
827,MM5,2017,Rosmarinus officinalis,39,2,NA
831,MM6,2017,Cistus libanotis,6,1,NA
832,MM6,2017,Halimium commutatum,6,4,NA
833,MM6,2017,Halimium halimifolium,7,1,NA
836,MM6,2017,Lavandula stoechas,3,4,NA
837,MM6,2017,Rosmarinus officinalis,24,5,NA
841,OM1,2017,Cistus libanotis,8,0,NA
842,OM1,2017,Halimium commutatum,3,7,NA
843,OM1,2017,Halimium halimifolium,0,0,NA
846,OM1,2017,Lavandula stoechas,3,5,NA
847,OM1,2017,Rosmarinus officinalis,7,1,NA
851,OM2,2017,Cistus libanotis,2,0,NA
852,OM2,2017,Halimium commutatum,23,1,NA
853,OM2,2017,Halimium halimifolium,10,0,NA
856,OM2,2017,Lavandula stoechas,18,2,NA
857,OM2,2017,Rosmarinus officinalis,1,0,NA
861,OM3,2017,Cistus libanotis,10,1,NA
862,OM3,2017,Halimium commutatum,2,6,NA
863,OM3,2017,Halimium halimifolium,6,2,NA
866,OM3,2017,Lavandula stoechas,11,2,NA
867,OM3,2017,Rosmarinus officinalis,12,1,NA
871,OM4,2017,Cistus libanotis,13,4,NA
872,OM4,2017,Halimium commutatum,6,6,NA
873,OM4,2017,Halimium halimifolium,2,0,NA
876,OM4,2017,Lavandula stoechas,1,3,NA
877,OM4,2017,Rosmarinus officinalis,16,1,NA
881,OM5,2017,Cistus libanotis,1,0,NA
882,OM5,2017,Halimium commutatum,9,1,NA
883,OM5,2017,Halimium halimifolium,5,0,NA
886,OM5,2017,Lavandula stoechas,8,0,NA
887,OM5,2017,Rosmarinus officinalis,17,0,NA
891,OM6,2017,Cistus libanotis,2,3,NA
892,OM6,2017,Halimium commutatum,7,2,NA
893,OM6,2017,Halimium halimifolium,5,1,NA
896,OM6,2017,Lavandula stoechas,12,1,NA
897,OM6,2017,Rosmarinus officinalis,8,0,NA
901,CM1,2019,Cistus libanotis,14,11,0
902,CM1,2019,Halimium commutatum,2,0,0
903,CM1,2019,Halimium halimifolium,3,0,0
906,CM1,2019,Lavandula stoechas,25,5,5
907,CM1,2019,Rosmarinus officinalis,4,0,0
911,CM2,2019,Cistus libanotis,2,2,0
912,CM2,2019,Halimium commutatum,3,0,0
913,CM2,2019,Halimium halimifolium,2,1,1
916,CM2,2019,Lavandula stoechas,4,7,9
917,CM2,2019,Rosmarinus officinalis,6,2,1
921,CM3,2019,Cistus libanotis,7,4,1
922,CM3,2019,Halimium commutatum,2,2,0
923,CM3,2019,Halimium halimifolium,12,1,1
926,CM3,2019,Lavandula stoechas,10,5,0
927,CM3,2019,Rosmarinus officinalis,14,1,0
931,CM4,2019,Cistus libanotis, ,0,0
932,CM4,2019,Halimium commutatum,15,8,2
933,CM4,2019,Halimium halimifolium,1,3,0
936,CM4,2019,Lavandula stoechas,29,15,16
937,CM4,2019,Rosmarinus officinalis,1,0,0
941,CM5,2019,Cistus libanotis,9,4,0
942,CM5,2019,Halimium commutatum,2,0,2
943,CM5,2019,Halimium halimifolium,9,4,2
946,CM5,2019,Lavandula stoechas,30,22,20
947,CM5,2019,Rosmarinus officinalis,2,0,1
951,CM6,2019,Cistus libanotis,8,0,0
952,CM6,2019,Halimium commutatum,5,2,0
953,CM6,2019,Halimium halimifolium,7,0,1
956,CM6,2019,Lavandula stoechas,28,13,2
957,CM6,2019,Rosmarinus officinalis,14,0,0
961,MM1,2019,Cistus libanotis,22,2,15
962,MM1,2019,Halimium commutatum,4,2,7
963,MM1,2019,Halimium halimifolium,0,0,2
966,MM1,2019,Lavandula stoechas,0,6,17
967,MM1,2019,Rosmarinus officinalis,11,0,0
971,MM2,2019,Cistus libanotis,9,1,2
972,MM2,2019,Halimium commutatum,7,4,0
973,MM2,2019,Halimium halimifolium,21,0,1
976,MM2,2019,Lavandula stoechas,3,0,1
977,MM2,2019,Rosmarinus officinalis,11,0,0
981,MM3,2019,Cistus libanotis,2,6,0
982,MM3,2019,Halimium commutatum,3,6,4
983,MM3,2019,Halimium halimifolium,11,2,3
986,MM3,2019,Lavandula stoechas,1,1,1
987,MM3,2019,Rosmarinus officinalis,12,3,0
991,MM4,2019,Cistus libanotis,1,4,0
992,MM4,2019,Halimium commutatum,19,11,1
993,MM4,2019,Halimium halimifolium,22,0,0
996,MM4,2019,Lavandula stoechas,0,0,0
997,MM4,2019,Rosmarinus officinalis,6,1,0
1001,MM5,2019,Cistus libanotis,13,4,1
1002,MM5,2019,Halimium commutatum,5,5,4
1003,MM5,2019,Halimium halimifolium,4,3,3
1006,MM5,2019,Lavandula stoechas,6,9,14
1007,MM5,2019,Rosmarinus officinalis,40,8,1
1011,MM6,2019,Cistus libanotis,9,15,3
1012,MM6,2019,Halimium commutatum,8,11,5
1013,MM6,2019,Halimium halimifolium,9,1,3
1016,MM6,2019,Lavandula stoechas,5,6,0
1017,MM6,2019,Rosmarinus officinalis,24,11,0
1021,OM1,2019,Cistus libanotis,9,5,2
1022,OM1,2019,Halimium commutatum,5,10,1
1023,OM1,2019,Halimium halimifolium,0,3,0
1026,OM1,2019,Lavandula stoechas,1,5,10
1027,OM1,2019,Rosmarinus officinalis,6,0,0
1031,OM2,2019,Cistus libanotis,1,6,0
1032,OM2,2019,Halimium commutatum,14,7,1
1033,OM2,2019,Halimium halimifolium,10,1,0
1036,OM2,2019,Lavandula stoechas,14,9,3
1037,OM2,2019,Rosmarinus officinalis,1,0,0
1041,OM3,2019,Cistus libanotis,5,3,0
1042,OM3,2019,Halimium commutatum,2,2,1
1043,OM3,2019,Halimium halimifolium,4,1,0
1046,OM3,2019,Lavandula stoechas,6,17,3
1047,OM3,2019,Rosmarinus officinalis,10,0,0
1051,OM4,2019,Cistus libanotis,13,10,1
1052,OM4,2019,Halimium commutatum,4,6,2
1053,OM4,2019,Halimium halimifolium,1,0,6
1056,OM4,2019,Lavandula stoechas,0,4,1
1057,OM4,2019,Rosmarinus officinalis,16,0,0
1061,OM5,2019,Cistus libanotis,2,1,0
1062,OM5,2019,Halimium commutatum,6,4,2
1063,OM5,2019,Halimium halimifolium,5,0,0
1066,OM5,2019,Lavandula stoechas,9,0,0
1067,OM5,2019,Rosmarinus officinalis,13,0,0
1071,OM6,2019,Cistus libanotis,3,5,2
1072,OM6,2019,Halimium commutatum,4,2,0
1073,OM6,2019,Halimium halimifolium,5,2,0
1076,OM6,2019,Lavandula stoechas,6,2,0
1077,OM6,2019,Rosmarinus officinalis,7,0,1
1081,CM1,2020,Cistus libanotis,11,7,3
1082,CM1,2020,Halimium commutatum,2,9,10
1083,CM1,2020,Halimium halimifolium,4,1,4
1086,CM1,2020,Lavandula stoechas,18,6,44
1087,CM1,2020,Rosmarinus officinalis,7,0,4
1091,CM2,2020,Cistus libanotis,2,2,5
1092,CM2,2020,Halimium commutatum,3,1,4
1093,CM2,2020,Halimium halimifolium,1,1,3
1096,CM2,2020,Lavandula stoechas,4,3,24
1097,CM2,2020,Rosmarinus officinalis,4,3,4
1101,CM3,2020,Cistus libanotis,6,3,1
1102,CM3,2020,Halimium commutatum,1,0,1
1103,CM3,2020,Halimium halimifolium,9,0,3
1106,CM3,2020,Lavandula stoechas,9,4,26
1107,CM3,2020,Rosmarinus officinalis,14,0,2
1111,CM4,2020,Cistus libanotis,0,0,0
1112,CM4,2020,Halimium commutatum,8,6,4
1113,CM4,2020,Halimium halimifolium,1,1,3
1116,CM4,2020,Lavandula stoechas,20,8,88
1117,CM4,2020,Rosmarinus officinalis,1,1,24
1121,CM5,2020,Cistus libanotis,6,0,10
1122,CM5,2020,Halimium commutatum,1,0,4
1123,CM5,2020,Halimium halimifolium,4,1,11
1126,CM5,2020,Lavandula stoechas,21,1,94
1127,CM5,2020,Rosmarinus officinalis,2,0,16
1131,CM6,2020,Cistus libanotis,3,1,6
1132,CM6,2020,Halimium commutatum,1,0,0
1133,CM6,2020,Halimium halimifolium,4,0,2
1136,CM6,2020,Lavandula stoechas,19,4,53
1137,CM6,2020,Rosmarinus officinalis,18,0,10
1141,MM1,2020,Cistus libanotis,12,3,27
1142,MM1,2020,Halimium commutatum,4,3,4
1143,MM1,2020,Halimium halimifolium,0,0,3
1146,MM1,2020,Lavandula stoechas,0,0,18
1147,MM1,2020,Rosmarinus officinalis,12,0,5
1151,MM2,2020,Cistus libanotis,7,0,0
1152,MM2,2020,Halimium commutatum,8,0,20
1153,MM2,2020,Halimium halimifolium,12,1,31
1156,MM2,2020,Lavandula stoechas,4,1,0
1157,MM2,2020,Rosmarinus officinalis,11,0,3
1161,MM3,2020,Cistus libanotis,1,1,4
1162,MM3,2020,Halimium commutatum,3,5,20
1163,MM3,2020,Halimium halimifolium,10,0,11
1166,MM3,2020,Lavandula stoechas,0,0,2
1167,MM3,2020,Rosmarinus officinalis,11,2,21
1171,MM4,2020,Cistus libanotis,1,6,1
1172,MM4,2020,Halimium commutatum,16,8,14
1173,MM4,2020,Halimium halimifolium,19,0,7
1176,MM4,2020,Lavandula stoechas,0,0,0
1177,MM4,2020,Rosmarinus officinalis,7,0,1
1181,MM5,2020,Cistus libanotis,7,0,3
1182,MM5,2020,Halimium commutatum,0,4,7
1183,MM5,2020,Halimium halimifolium,3,0,1
1186,MM5,2020,Lavandula stoechas,6,4,43
1187,MM5,2020,Rosmarinus officinalis,42,4,6
1191,MM6,2020,Cistus libanotis,10,10,6
1192,MM6,2020,Halimium commutatum,2,11,7
1193,MM6,2020,Halimium halimifolium,8,3,4
1196,MM6,2020,Lavandula stoechas,6,2,23
1197,MM6,2020,Rosmarinus officinalis,30,4,4
1201,OM1,2020,Cistus libanotis,6,3,10
1202,OM1,2020,Halimium commutatum,5,4,7
1203,OM1,2020,Halimium halimifolium,0,1,5
1206,OM1,2020,Lavandula stoechas,1,1,15
1207,OM1,2020,Rosmarinus officinalis,6,0,4
1211,OM2,2020,Cistus libanotis,0,3,5
1212,OM2,2020,Halimium commutatum,14,2,9
1213,OM2,2020,Halimium halimifolium,7,0,6
1216,OM2,2020,Lavandula stoechas,13,12,72
1217,OM2,2020,Rosmarinus officinalis,1,0,8
1221,OM3,2020,Cistus libanotis,0,4,0
1222,OM3,2020,Halimium commutatum,3,1,3
1223,OM3,2020,Halimium halimifolium,3,0,7
1226,OM3,2020,Lavandula stoechas,9,0,40
1227,OM3,2020,Rosmarinus officinalis,10,2,9
1231,OM4,2020,Cistus libanotis,12,4,3
1232,OM4,2020,Halimium commutatum,3,9,2
1233,OM4,2020,Halimium halimifolium,1,1,2
1236,OM4,2020,Lavandula stoechas,0,3,1
1237,OM4,2020,Rosmarinus officinalis,19,0,4
1241,OM5,2020,Cistus libanotis,0,4,5
1242,OM5,2020,Halimium commutatum,5,1,13
1243,OM5,2020,Halimium halimifolium,3,0,1
1246,OM5,2020,Lavandula stoechas,8,2,5
1247,OM5,2020,Rosmarinus officinalis,15,2,21
1251,OM6,2020,Cistus libanotis,4,1,7
1252,OM6,2020,Halimium commutatum,1,2,2
1253,OM6,2020,Halimium halimifolium,3,1,7
1256,OM6,2020,Lavandula stoechas,3,6,8
1257,OM6,2020,Rosmarinus officinalis,8,1,8
1261,CM1,2021,Cistus libanotis,16,4,0
1262,CM1,2021,Halimium commutatum,5,7,15
1263,CM1,2021,Halimium halimifolium,5,2,4
1266,CM1,2021,Lavandula stoechas,18,11,12
1267,CM1,2021,Rosmarinus officinalis,5,0,2
1271,CM2,2021,Cistus libanotis,0,9,5
1272,CM2,2021,Halimium commutatum,4,5,6
1273,CM2,2021,Halimium halimifolium,1,0,3
1276,CM2,2021,Lavandula stoechas,4,10,13
1277,CM2,2021,Rosmarinus officinalis,8,3,2
1281,CM3,2021,Cistus libanotis,6,4,1
1282,CM3,2021,Halimium commutatum,2,1,7
1283,CM3,2021,Halimium halimifolium,12,1,10
1286,CM3,2021,Lavandula stoechas,8,10,15
1287,CM3,2021,Rosmarinus officinalis,15,3,1
1291,CM4,2021,Cistus libanotis,0,0,0
1292,CM4,2021,Halimium commutatum,16,5,15
1293,CM4,2021,Halimium halimifolium,1,5,5
1296,CM4,2021,Lavandula stoechas,24,21,33
1297,CM4,2021,Rosmarinus officinalis,4,0,2
1301,CM5,2021,Cistus libanotis,5,4,6
1302,CM5,2021,Halimium commutatum,2,6,10
1303,CM5,2021,Halimium halimifolium,5,1,21
1306,CM5,2021,Lavandula stoechas,28,29,84
1307,CM5,2021,Rosmarinus officinalis,2,0,0
1311,CM6,2021,Cistus libanotis,5,9,5
1312,CM6,2021,Halimium commutatum,3,1,0
1313,CM6,2021,Halimium halimifolium,5,4,1
1316,CM6,2021,Lavandula stoechas,14,47,8
1317,CM6,2021,Rosmarinus officinalis,14,1,0
1321,MM1,2021,Cistus libanotis,13,14,18
1322,MM1,2021,Halimium commutatum,4,8,20
1323,MM1,2021,Halimium halimifolium,0,2,3
1326,MM1,2021,Lavandula stoechas,0,5,2
1327,MM1,2021,Rosmarinus officinalis,8,3,0
1331,MM2,2021,Cistus libanotis,5,3,0
1332,MM2,2021,Halimium commutatum,5,7,18
1333,MM2,2021,Halimium halimifolium,16,1,6
1336,MM2,2021,Lavandula stoechas,3,0,0
1337,MM2,2021,Rosmarinus officinalis,12,1,1
1341,MM3,2021,Cistus libanotis,1,3,2
1342,MM3,2021,Halimium commutatum,5,9,25
1343,MM3,2021,Halimium halimifolium,7,6,22
1346,MM3,2021,Lavandula stoechas,0,5,19
1347,MM3,2021,Rosmarinus officinalis,12,7,22
1351,MM4,2021,Cistus libanotis,0,3,1
1352,MM4,2021,Halimium commutatum,19,12,16
1353,MM4,2021,Halimium halimifolium,17,0,3
1356,MM4,2021,Lavandula stoechas,0,0,0
1357,MM4,2021,Rosmarinus officinalis,8,0,0
1361,MM5,2021,Cistus libanotis,5,10,9
1362,MM5,2021,Halimium commutatum,5,8,7
1363,MM5,2021,Halimium halimifolium,3,1,6
1366,MM5,2021,Lavandula stoechas,6,30,9
1367,MM5,2021,Rosmarinus officinalis,50,12,3
1371,MM6,2021,Cistus libanotis,9,13,6
1372,MM6,2021,Halimium commutatum,5,29,31
1373,MM6,2021,Halimium halimifolium,11,5,15
1376,MM6,2021,Lavandula stoechas,0,12,25
1377,MM6,2021,Rosmarinus officinalis,22,9,5
1381,OM1,2021,Cistus libanotis,5,3,6
1382,OM1,2021,Halimium commutatum,4,21,12
1383,OM1,2021,Halimium halimifolium,0,7,7
1386,OM1,2021,Lavandula stoechas,2,15,7
1387,OM1,2021,Rosmarinus officinalis,7,1,6
1391,OM2,2021,Cistus libanotis,1,7,10
1392,OM2,2021,Halimium commutatum,13,4,0
1393,OM2,2021,Halimium halimifolium,5,4,5
1396,OM2,2021,Lavandula stoechas,11,34,12
1397,OM2,2021,Rosmarinus officinalis,1,2,1
1401,OM3,2021,Cistus libanotis,4,2,1
1402,OM3,2021,Halimium commutatum,3,5,5
1403,OM3,2021,Halimium halimifolium,3,3,5
1406,OM3,2021,Lavandula stoechas,8,18,17
1407,OM3,2021,Rosmarinus officinalis,11,6,6
1411,OM4,2021,Cistus libanotis,12,15,10
1412,OM4,2021,Halimium commutatum,3,13,8
1413,OM4,2021,Halimium halimifolium,1,4,2
1416,OM4,2021,Lavandula stoechas,2,1,7
1417,OM4,2021,Rosmarinus officinalis,14,7,5
1421,OM5,2021,Cistus libanotis,0,2,4
1422,OM5,2021,Halimium commutatum,5,5,9
1423,OM5,2021,Halimium halimifolium,3,0,2
1426,OM5,2021,Lavandula stoechas,6,2,3
1427,OM5,2021,Rosmarinus officinalis,9,1,4
1431,OM6,2021,Cistus libanotis,4,3,8
1432,OM6,2021,Halimium commutatum,2,7,15
1433,OM6,2021,Halimium halimifolium,2,5,8
1436,OM6,2021,Lavandula stoechas,3,2,7
1437,OM6,2021,Rosmarinus officinalis,8,4,7